,Rating,Company Name,Job Title,Salary,Salaries Reported,Location,Employment Status,Job Roles,Salary_USD
61,4.6,Cumulations Technologies,Android Developer,400000,2,Bangalore,Full Time,Android,4817
62,4.2,Dcoder,Android Developer - Intern,96000,2,Bangalore,Intern,Android,1156
63,5.0,powerplay app,Android Developer,1000000,2,Bangalore,Full Time,Android,12043
64,4.0,Fembuddy,Android Developer,420000,2,Bangalore,Full Time,Android,5058
65,4.5,Blewsoft Technologies,Android Developer,240000,2,Bangalore,Full Time,Android,2890
66,4.2,Across The Globe,Android Developer - Intern,72000,2,Bangalore,Intern,Android,867
67,3.9,HARMAN,Android Developer,700000,2,Bangalore,Full Time,Android,8430
68,3.2,Oust Labs,Android Developer,396000,2,Bangalore,Full Time,Android,4769
69,4.0,Kaskeid Designs,Android Developer,264000,2,Bangalore,Full Time,Android,3179
70,3.6,TruKKer Technologies,Android Developer,500000,2,Bangalore,Full Time,Android,6022
71,3.3,Datamatics Global Services,Android Developer,1000000,2,Bangalore,Full Time,Android,12043
72,3.1,Grabhouse,Android Developer,672000,2,Bangalore,Full Time,Android,8093
73,2.8,Msewa Software Solution,Android Developer,276000,2,Bangalore,Full Time,Android,3324
74,3.8,Honeywell,Android Developer,800000,2,Bangalore,Full Time,Android,9635
75,3.7,Prematix Software Solution,Android Developer,200000,2,Bangalore,Full Time,Android,2409
76,3.4,Provab Technosoft,Android Developer,492000,2,Bangalore,Full Time,Android,5925
77,3.0,Ai-Connect,Android Developer,600000,1,Bangalore,Full Time,Android,7226
78,3.3,Idea infinity IT Solutions,Android Developer,300000,1,Bangalore,Full Time,Android,3613
79,3.1,Developer On Rent,Android Developer,300000,1,Bangalore,Full Time,Android,3613
80,4.0,OZOPROP Technologies,Android Developer,432000,1,Bangalore,Full Time,Android,5203
81,3.7,ThinkTac,Android Developer - Intern,200000,1,Bangalore,Intern,Android,2409
82,4.3,Ashwin Infotrron,Android Developer,1188000,1,Bangalore,Full Time,Android,14307
83,4.5,Housejoy,Android Developer,500000,1,Bangalore,Full Time,Android,6022
84,5.0,Proven Solution,Android Developer,500000,1,Bangalore,Full Time,Android,6022
85,5.0,Blooms Mobility Technologies,Android Developer,300000,1,Bangalore,Full Time,Android,3613
86,3.9,DT Consulting,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
87,4.8,Kartel Technosoft,Android Developer,400000,1,Bangalore,Full Time,Android,4817
88,3.9,Philips,Android Developer,500000,1,Bangalore,Full Time,Android,6022
89,3.4,Vensure Employer Services,Android Developer,732000,1,Bangalore,Full Time,Android,8816
90,4.5,QuHu,Android Developer - Intern,120000,1,Bangalore,Intern,Android,1445
91,4.1,Software Developers,Android Developer,684000,1,Bangalore,Full Time,Android,8238
92,4.0,Livwell holding,Android Developer,500000,1,Bangalore,Full Time,Android,6022
93,3.8,Uolo Technology,Android Developer,800000,1,Bangalore,Full Time,Android,9635
94,3.3,MSL Learning Systems,Android Developer,400000,1,Bangalore,Full Time,Android,4817
95,4.8,Fermedicius Labs,Android Developer,200000,1,Bangalore,Full Time,Android,2409
96,4.1,Dunzo,Android Developer,2800000,1,Bangalore,Full Time,Android,33721
97,3.7,ABC Tech,Android Developer,852000,1,Bangalore,Full Time,Android,10261
98,4.3,SpurTree Technologies,Android Developer,700000,1,Bangalore,Full Time,Android,8430
99,4.0,Grab (India),Android Developer,1200000,1,Bangalore,Full Time,Android,14452
100,3.9,42Gears Mobility Systems,Android Developer,900000,1,Bangalore,Full Time,Android,10839
101,4.1,Tata,Android Developer,400000,1,Bangalore,Full Time,Android,4817
102,4.1,Kruzr,Android Developer,228000,1,Bangalore,Full Time,Android,2746
103,4.0,NimbusParc TechnoLab,Android Developer,400000,1,Bangalore,Full Time,Android,4817
104,3.3,NvestCampus,Android Developer,400000,1,Bangalore,Full Time,Android,4817
105,4.4,nth Exam,Android Developer - Intern,252000,1,Bangalore,Intern,Android,3035
106,4.0,Walmart Global Tech,Android Developer,2300000,1,Bangalore,Full Time,Android,27699
107,4.0,ThreeFiveEight,Android Developer,300000,1,Bangalore,Full Time,Android,3613
108,4.0,Familybirdz Tech,Android Developer,400000,1,Bangalore,Full Time,Android,4817
109,3.4,Photon,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
110,4.0,Matcoms labs,Android Developer - Intern,84000,1,Bangalore,Intern,Android,1012
111,4.5,Money View,Android Developer - Intern,468000,1,Bangalore,Intern,Android,5636
112,4.6,Masai School,Android Developer - Intern,800000,1,Bangalore,Intern,Android,9635
113,4.7,Sanjay Kandoth MD,Android Developer,300000,1,Bangalore,Full Time,Android,3613
114,4.2,Volvo Group,Android Developer,900000,1,Bangalore,Full Time,Android,10839
115,3.6,Quess,Android Developer - Contractor,700000,1,Bangalore,Contractor,Android,8430
116,3.9,OnMobile,Android Developer,900000,1,Bangalore,Full Time,Android,10839
117,3.5,Nymo,Android Developer,700000,1,Bangalore,Full Time,Android,8430
118,4.3,Immerpact,Android Developer,264000,1,Bangalore,Full Time,Android,3179
119,4.5,FinBox,Android Developer - Intern,240000,1,Bangalore,Intern,Android,2890
120,4.4,Webloom,Android Developer,600000,1,Bangalore,Full Time,Android,7226
121,3.8,Hexwhale,Android Developer,120000,1,Bangalore,Full Time,Android,1445
122,4.5,Indian Institute of Science,Android Developer,408000,1,Bangalore,Full Time,Android,4914
123,3.9,Landmark Group,Android Developer - Contractor,1000000,1,Bangalore,Contractor,Android,12043
124,4.1,Codeinks Software,Android Developer,228000,1,Bangalore,Full Time,Android,2746
125,3.9,Zyoin,Android Developer,400000,1,Bangalore,Full Time,Android,4817
126,4.1,Adjetter,Android Developer,500000,1,Bangalore,Full Time,Android,6022
127,3.9,Ultimate tek Solutions,Android Developer,300000,1,Bangalore,Full Time,Android,3613
128,3.8,Bounce,Android Developer,700000,1,Bangalore,Full Time,Android,8430
129,2.4,iServices,Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,6022
130,3.9,IonIdea,Android Developer,500000,1,Bangalore,Full Time,Android,6022
131,3.7,inGen Dynamics,Android Developer,228000,1,Bangalore,Full Time,Android,2746
132,3.8,ITC,Android Developer,500000,1,Bangalore,Full Time,Android,6022
133,5.0,ID Foundry,Android Developer,600000,1,Bangalore,Full Time,Android,7226
134,3.4,FanFight,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
135,4.8,Intugine Technologies,Android Developer - Intern,216000,1,Bangalore,Intern,Android,2601
136,4.0,Deloitte,Android Developer,1200000,1,Bangalore,Full Time,Android,14452
137,4.3,Noon Academy,Android Developer,1300000,1,Bangalore,Full Time,Android,15656
138,3.5,Allstate,Android Developer,400000,1,Bangalore,Full Time,Android,4817
139,3.7,NIIT,Android Developer,120000,1,Bangalore,Full Time,Android,1445
140,2.4,Chromozome Network,Android Developer,192000,1,Bangalore,Full Time,Android,2312
141,4.1,MoEngage,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
142,4.0,Maven Cluster Software,Android Developer,200000,1,Bangalore,Full Time,Android,2409
143,3.0,Nerve Centrex Software,Android Developer,600000,1,Bangalore,Full Time,Android,7226
144,4.1,Nitish Verma,Android Developer,300000,1,Bangalore,Full Time,Android,3613
145,4.1,First Student,Android Developer - Intern,2200000,1,Bangalore,Intern,Android,26495
146,4.1,Sulopa Solutions,Android Developer,144000,1,Bangalore,Full Time,Android,1734
147,2.2,ZINOHA PHARMACY,Android Developer,672000,1,Bangalore,Full Time,Android,8093
148,4.2,Tarento,Android Developer,312000,1,Bangalore,Full Time,Android,3757
149,4.0,Freshers.com,Android Developer,348000,1,Bangalore,Full Time,Android,4191
150,3.8,Kavin Corporation,Android Developer,480000,1,Bangalore,Full Time,Android,5781
151,4.0,Mantra Labs,Android Developer,500000,1,Bangalore,Full Time,Android,6022
152,3.3,Ola,Android Developer,200000,1,Bangalore,Full Time,Android,2409
153,3.8,Amazon,Android Developer,228000,1,Bangalore,Full Time,Android,2746
154,4.4,Alfalasi Tech,Android Developer,400000,1,Bangalore,Full Time,Android,4817
155,5.0,Qualtech Telesys,Android Developer,408000,1,Bangalore,Full Time,Android,4914
156,4.0,Insigma Vision,Android Developer,500000,1,Bangalore,Full Time,Android,6022
157,5.0,Cogcons,Android Developer,432000,1,Bangalore,Full Time,Android,5203
158,3.1,Thampy Digital,Android Developer,900000,1,Bangalore,Full Time,Android,10839
159,2.7,Khosla Labs,Android Developer,800000,1,Bangalore,Full Time,Android,9635
160,4.5,Mindera,Android Developer,600000,1,Bangalore,Full Time,Android,7226
161,4.4,Microsoft,Android Developer,2100000,1,Bangalore,Full Time,Android,25291
162,3.7,Paytm Money,Android Developer,1900000,1,Bangalore,Full Time,Android,22882
163,4.6,Magna Health Solutions,Android Developer,180000,1,Bangalore,Full Time,Android,2168
164,3.7,Fujitsu,Android Developer,500000,1,Bangalore,Full Time,Android,6022
165,4.0,AppiVa Software,Android Developer,300000,1,Bangalore,Full Time,Android,3613
166,4.0,IrisActive Communications,Android Developer,400000,1,Bangalore,Full Time,Android,4817
167,5.0,Synxgen,Android Developer,252000,1,Bangalore,Full Time,Android,3035
168,4.0,Arcomatic,Android Developer,500000,1,Bangalore,Full Time,Android,6022
169,3.9,Zvky Design,Android Developer,200000,1,Bangalore,Full Time,Android,2409
170,3.6,Apogee Global,Android Developer,192000,1,Bangalore,Full Time,Android,2312
171,3.6,Varadhi Smartek,Android Developer,100000,1,Bangalore,Full Time,Android,1204
172,4.0,Practo Technologies,Android Developer,900000,1,Bangalore,Full Time,Android,10839
173,4.3,IT Contractors,Android Developer,360000,1,Bangalore,Full Time,Android,4336
174,4.0,Meesho,Android Developer,1400000,1,Bangalore,Full Time,Android,16860
175,4.6,Citrin Technologies,Android Developer,400000,1,Bangalore,Full Time,Android,4817
176,4.8,LocalRamu,Android Developer,252000,1,Bangalore,Full Time,Android,3035
177,4.2,21North Europ Assistance,Android Developer,400000,1,Bangalore,Full Time,Android,4817
178,4.5,CRED,Android Developer,300000,1,Bangalore,Full Time,Android,3613
179,3.1,Inquirly,Android Developer,400000,1,Bangalore,Full Time,Android,4817
180,3.0,ASZ Technologies,Android Developer,800000,1,Bangalore,Full Time,Android,9635
181,3.2,Geepas,Android Developer,408000,1,Bangalore,Full Time,Android,4914
182,4.2,CodeGama,Android Developer,624000,1,Bangalore,Full Time,Android,7515
183,3.8,Globex Digital Solutions,Android Developer,1400000,1,Bangalore,Full Time,Android,16860
184,4.4,Mentric Group,Android Developer,400000,1,Bangalore,Full Time,Android,4817
185,4.2,Across The Globe,Android Developer,240768,1,Bangalore,Full Time,Android,2900
186,5.0,MyCotra,Android Developer,500000,1,Bangalore,Full Time,Android,6022
187,4.3,Youth Empowerment Foundation,Android Developer,300000,1,Bangalore,Full Time,Android,3613
188,5.0,Cloud Can Technologies,Android Developer,400000,1,Bangalore,Full Time,Android,4817
189,3.6,ZipGo,Android Developer,600000,1,Bangalore,Full Time,Android,7226
190,4.0,HostRider,Android Developer,300000,1,Bangalore,Full Time,Android,3613
191,3.9,PayCraft Solutions,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
192,4.0,teleChikitsa,Android Developer,216000,1,Bangalore,Full Time,Android,2601
193,3.8,DynPro,Android Developer,800000,1,Bangalore,Full Time,Android,9635
194,3.0,eValai Infotech,Android Developer,576000,1,Bangalore,Full Time,Android,6937
195,4.0,Hughes Systique,Android Developer,720000,1,Bangalore,Full Time,Android,8671
196,4.5,Amli Network,Android Developer,2000000,1,Bangalore,Full Time,Android,24086
197,4.1,SmartQ,Android Developer,600000,1,Bangalore,Full Time,Android,7226
198,3.7,Wisdomleaf Technologies,Android Developer,744000,1,Bangalore,Full Time,Android,8960
199,2.4,Travelyaari,Android Developer - Contractor,1200000,1,Bangalore,Contractor,Android,14452
200,3.1,Nation Learns,Android Developer,216000,1,Bangalore,Full Time,Android,2601
201,4.2,Rapido,Android Developer,1100000,1,Bangalore,Full Time,Android,13248
202,2.8,Docket Tech,Android Developer,400000,1,Bangalore,Full Time,Android,4817
203,3.7,QuickRide,Android Developer,300000,1,Bangalore,Full Time,Android,3613
204,3.5,Six Dee Telecom Solutions,Android Developer,720000,1,Bangalore,Full Time,Android,8671
205,3.7,Food Vybe,Android Developer - Intern,120000,1,Bangalore,Intern,Android,1445
206,3.9,Tettares Software Solutions,Android Developer - Intern,144000,1,Bangalore,Intern,Android,1734
207,3.7,Center Parcs,Android Developer - Intern,120000,1,Bangalore,Intern,Android,1445
208,4.6,slice,Android Developer - Intern,636000,1,Bangalore,Intern,Android,7659
209,4.0,Tala,Android Developer - Contractor,1000000,1,Bangalore,Contractor,Android,12043
210,3.3,The Otherside,Android Developer,200000,1,Bangalore,Full Time,Android,2409
211,4.4,FP Tech Science,Android Developer,7100000,1,Bangalore,Full Time,Android,85507
212,3.2,Qleverlabs Technologies,Android Developer,600000,1,Bangalore,Full Time,Android,7226
213,3.2,ZopNow,Android Developer,1200000,1,Bangalore,Full Time,Android,14452
214,4.9,Spinta Digital,Android Developer,360000,1,Bangalore,Full Time,Android,4336
215,4.5,Groww,Android Developer - Intern,708000,1,Bangalore,Intern,Android,8527
216,4.0,nothing,Android Developer,300000,1,Bangalore,Full Time,Android,3613
217,1.8,Prowide Solutions,Android Developer,900000,1,Bangalore,Full Time,Android,10839
218,3.0,Teligenz Tech Solutions,Android Developer,180000,1,Bangalore,Full Time,Android,2168
219,3.5,Vebbler,Android Developer,1300000,1,Bangalore,Full Time,Android,15656
220,4.3,Melio Systems,Android Developer,228000,1,Bangalore,Full Time,Android,2746
221,4.0,Uniservice Technology Solutions,Android Developer,600000,1,Bangalore,Full Time,Android,7226
222,4.1,HealthifyMe,Android Developer,800000,1,Bangalore,Full Time,Android,9635
223,5.0,Simtech Solutions,Android Developer,648000,1,Bangalore,Full Time,Android,7804
224,2.9,MMAD Apps,Android Developer,288000,1,Bangalore,Full Time,Android,3468
225,4.8,Intugine Technologies,Android Developer,372000,1,Bangalore,Full Time,Android,4480
226,3.7,Blue Rose Technologies,Android Developer,1300000,1,Bangalore,Full Time,Android,15656
227,5.0,Talent Zone Consultants,Android Developer,400000,1,Bangalore,Full Time,Android,4817
228,3.9,Aspire Software Consultancy,Android Developer,300000,1,Bangalore,Full Time,Android,3613
229,3.6,Wenzins,Android Developer,300000,1,Bangalore,Full Time,Android,3613
230,4.0,Launchers World Software,Android Developer,192000,1,Bangalore,Full Time,Android,2312
231,4.3,Grab,Android Developer,1200000,1,Bangalore,Full Time,Android,14452
232,4.0,Mindtree,Android Developer - Contractor,600000,1,Bangalore,Contractor,Android,7226
233,3.5,Easoftech Solutions,Android Developer,600000,1,Bangalore,Full Time,Android,7226
234,5.0,Rusé Home,Android Developer,600000,1,Bangalore,Full Time,Android,7226
235,4.9,TIGI HR Solution,Android Developer,504000,1,Bangalore,Full Time,Android,6070
236,4.4,QTalk,Android Developer - Intern,288000,1,Bangalore,Intern,Android,3468
237,4.1,Ubona,Android Developer,1400000,1,Bangalore,Full Time,Android,16860
238,4.5,KSJ Technology,Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,6022
239,4.4,Dozee,Android Developer,444000,1,Bangalore,Full Time,Android,5347
240,3.8,XYZ,Android Developer,800000,1,Bangalore,Full Time,Android,9635
241,3.9,Philips,Android Developer - Intern,300000,1,Bangalore,Intern,Android,3613
242,4.6,Razorthink,Android Developer,400000,1,Bangalore,Full Time,Android,4817
243,4.0,Nanite Solutions,Android Developer,300000,1,Bangalore,Full Time,Android,3613
244,4.0,DexIdeate,Android Developer,252000,1,Bangalore,Full Time,Android,3035
245,4.0,Fresherworld.com,Android Developer,400000,1,Bangalore,Full Time,Android,4817
246,4.0,Immersion Software Labs,Android Developer,400000,1,Bangalore,Full Time,Android,4817
247,3.3,MNM Media,Android Developer,200000,1,Bangalore,Full Time,Android,2409
248,3.1,Digital Aristotle,Android Developer,1500000,1,Bangalore,Full Time,Android,18065
249,2.1,GSA TechWorld,Android Developer,384000,1,Bangalore,Full Time,Android,4625
250,4.5,Google,Android Developer,1900000,1,Bangalore,Full Time,Android,22882
251,4.7,Inito,Android Developer,672000,1,Bangalore,Full Time,Android,8093
252,5.0,GetVu,Android Developer,600000,1,Bangalore,Full Time,Android,7226
253,4.0,ZaranTech,Android Developer,516000,1,Bangalore,Full Time,Android,6214
254,5.0,IBetterTechnologies,Android Developer,588000,1,Bangalore,Full Time,Android,7081
255,2.3,GPSDesk,Android Developer,300000,1,Bangalore,Full Time,Android,3613
256,4.7,adeptpros,Android Developer,200000,1,Bangalore,Full Time,Android,2409
257,4.1,Mishipay,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
258,4.4,Gojek,Android Developer,2100000,1,Bangalore,Full Time,Android,25291
259,4.2,Gozo,Android Developer,300000,1,Bangalore,Full Time,Android,3613
260,4.9,Retranz Infolabs,Android Developer - Intern,168000,1,Bangalore,Intern,Android,2023
261,4.0,Nuclei,Android Developer - Intern,264000,1,Bangalore,Intern,Android,3179
262,4.1,OliveBoard,Android Developer,1100000,1,Bangalore,Full Time,Android,13248
263,3.9,Mahiti Infotech,Android Developer,300000,1,Bangalore,Full Time,Android,3613
264,4.8,Henote Technologies,Android Developer,600000,1,Bangalore,Full Time,Android,7226
265,4.1,Plivo,Android Developer - Intern,552000,1,Bangalore,Intern,Android,6648
266,4.5,Myelin Foundry,Android Developer - Intern,372000,1,Bangalore,Intern,Android,4480
267,3.4,News Corp,Android Developer,1600000,1,Bangalore,Full Time,Android,19269
268,4.1,Lenskart Solutions,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
269,3.8,HungerBox,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
270,3.5,Appface,Android Developer Contractor,168000,1,Bangalore,Contractor,Android,2023
271,3.4,OYO,Android Developer,1400000,1,Bangalore,Full Time,Android,16860
272,3.6,T.I.G.E.R. Innovations,Android Developer,540000,1,Bangalore,Full Time,Android,6503
273,4.6,Appiness Interactive,Android Developer - Intern,144000,1,Bangalore,Intern,Android,1734
274,3.7,Diverse Lynx,Android Developer,800000,1,Bangalore,Full Time,Android,9635
275,4.8,Dropshop,Android Developer,800000,1,Bangalore,Full Time,Android,9635
276,4.0,Time Logic Solutions,Android Developer,900000,1,Bangalore,Full Time,Android,10839
277,3.3,Hotstar,Android Developer,2400000,1,Bangalore,Full Time,Android,28904
278,5.0,Human Fractal.Ai,Android Developer - Intern,168000,1,Bangalore,Intern,Android,2023
279,3.7,Adaalo,Android Developer,200000,1,Bangalore,Full Time,Android,2409
280,3.8,Chumbak Design,Android Developer,700000,1,Bangalore,Full Time,Android,8430
281,4.2,Licious,Android Developer,600000,1,Bangalore,Full Time,Android,7226
282,4.0,Object Scope,Android Developer,200000,1,Bangalore,Full Time,Android,2409
283,3.3,Incture Technologies,Android Developer,500000,1,Bangalore,Full Time,Android,6022
284,4.1,Tesco Bengaluru,Android Developer,1800000,1,Bangalore,Full Time,Android,21678
285,3.9,ATG,Android Developer - Intern,156000,1,Bangalore,Intern,Android,1879
286,4.4,ZikraByte,Android Developer,300000,1,Bangalore,Full Time,Android,3613
287,3.0,Katerra,Android Developer,400000,1,Bangalore,Full Time,Android,4817
288,4.1,MountBlue Technologies,Android Developer,300000,1,Bangalore,Full Time,Android,3613
289,4.2,Embitel Technologies,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
290,2.3,Gypsee,Android Developer,336000,1,Bangalore,Full Time,Android,4047
291,4.0,Aspiring Wings Technologies,Android Developer,300000,1,Bangalore,Full Time,Android,3613
292,1.8,Gridlle,Android Developer,228000,1,Bangalore,Full Time,Android,2746
293,4.0,Nirav Patel,Android Developer,800000,1,Bangalore,Full Time,Android,9635
294,3.8,Amazon,Android Developer,300000,1,Bangalore,Full Time,Android,3613
295,4.5,FamPay,Android Developer,1128000,1,Bangalore,Full Time,Android,13585
296,3.2,InnoEye Technologies,Android Developer,288000,1,Bangalore,Full Time,Android,3468
297,3.9,AppZoy,Android Developer,228000,1,Bangalore,Full Time,Android,2746
298,2.8,Sprim,Android Developer,600000,1,Bangalore,Full Time,Android,7226
299,4.8,HummingWave Technologies,Android Developer,600000,1,Bangalore,Full Time,Android,7226
300,4.1,XXX Energy Drink,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
301,4.4,Tarams India,Android Developer,900000,1,Bangalore,Full Time,Android,10839
302,3.9,Unizen Technologies,Android Developer,800000,1,Bangalore,Full Time,Android,9635
303,4.0,The Sparks Foundation,Android Developer - Intern,276000,1,Bangalore,Intern,Android,3324
304,4.5,Zoho,Android Developer,1100000,1,Bangalore,Full Time,Android,13248
305,3.6,GoodWorkLabs Services,Android Developer,400000,1,Bangalore,Full Time,Android,4817
306,3.6,PurpleFront,Android Developer,400000,1,Bangalore,Full Time,Android,4817
307,4.1,GeoSpark,Android Developer,800000,1,Bangalore,Full Time,Android,9635
308,4.0,Q,Android Developer,800000,1,Bangalore,Full Time,Android,9635
309,1.8,ICT Health,Android Developer,600000,1,Bangalore,Full Time,Android,7226
310,4.2,Tipstat,Android Developer,1000000,1,Bangalore,Full Time,Android,12043
311,3.7,Arvind Internet,Android Developer,400000,1,Bangalore,Full Time,Android,4817
312,3.9,XYZ,Android Developer,400000,1,Bangalore,Full Time,Android,4817
313,4.2,AppScript Mobile Solutions,Android Developer,300000,1,Bangalore,Full Time,Android,3613
314,4.3,PhonePe,Android Developer,2500000,1,Bangalore,Full Time,Android,30108
315,4.0,Knappily,Android Developer,336000,1,Bangalore,Full Time,Android,4047
316,3.8,Harsha,Android Developer,240000,1,Bangalore,Full Time,Android,2890
317,4.1,LeadSquared,Android Developer,1200000,1,Bangalore,Full Time,Android,14452
318,3.9,Solv (India),Android Developer - Contractor,500000,1,Bangalore,Contractor,Android,6022
319,5.0,Walfin Tech,Android Developer,1200000,1,Bangalore,Full Time,Android,14452
320,4.1,CONZUMEX INDUSTRIES,Android Developer,6900000,1,Bangalore,Full Time,Android,83098
321,4.0,by,Android Developer,468000,1,Bangalore,Full Time,Android,5636
322,3.7,Fincare Small Finanace Bank,Android Developer,800000,1,Bangalore,Full Time,Android,9635
323,5.0,Zingo Hotels,Android Developer,400000,1,Bangalore,Full Time,Android,4817
324,3.0,iHorse Technologies,Android Developer,300000,1,Bangalore,Full Time,Android,3613
325,5.0,DeepBiz,Android Developer,300000,1,Bangalore,Full Time,Android,3613
326,3.7,ITC Infotech,Android Developer,400000,1,Bangalore,Full Time,Android,4817
327,3.6,JustDial,Android Developer,1600000,1,Bangalore,Full Time,Android,19269
